X,Y,X_m,Y_m
0,1,1,0
0.05,1,1,0.05
0.1,1,1,0.1
0.15,0.999,0.999,0.15
0.2,0.996,0.996,0.2
0.25,0.988,0.988,0.25
0.3,0.968,0.968,0.3
0.35,0.923,0.923,0.35
0.4,0.807,0.807,0.4
0.45,0.585,0.585,0.45
0.5,0.482,0.482,0.5
0.55,0.407,0.407,0.55
0.6,0.344,0.344,0.6
0.65,0.29,0.29,0.65
0.7,0.247,0.247,0.7
0.75,0.216,0.216,0.75
0.8,0.194,0.194,0.8
0.85,0.178,0.178,0.85
0.9,0.165,0.165,0.9
0.95,0.156,0.156,0.95
1,0.148,0.148,1

