X,Y,X_m,Y_m
0,1,0.342,0
0.05,1,0.301,0.05
0.1,1,0.264,0.1
0.15,0.999,0.23,0.15
0.2,0.996,0.198,0.2
0.25,0.988,0.169,0.25
0.3,0.968,0.14,0.3
0.35,0.923,0.112,0.35
0.4,0.807,0.0838,0.4
0.45,0.585,0.0592,0.45
0.5,0.482,0.0402,0.5
0.55,0.407,0.0263,0.55
0.6,0.344,0.0163,0.6
0.65,0.29,0.00925,0.65
0.7,0.247,0.00466,0.7
0.75,0.216,0.00204,0.75
0.8,0.194,0.000787,0.8
0.85,0.178,0.000277,0.85
0.9,0.165,9.24e-05,0.9
0.95,0.156,3e-05,0.95
1,0.148,1.03e-05,1
