X,Y,X_m,Y_m
0,1.2,1.2,0
0.05,1.2,1.2,0.05
0.1,1.2,1.2,0.1
0.15,1.2,1.2,0.15
0.2,1.2,1.2,0.2
0.25,1.19,1.19,0.25
0.3,1.17,1.17,0.3
0.35,1.14,1.14,0.35
0.4,1.09,1.09,0.4
0.45,0.991,0.991,0.45
0.5,0.799,0.799,0.5
0.55,0.673,0.673,0.55
0.6,0.587,0.587,0.6
0.65,0.512,0.512,0.65
0.7,0.446,0.446,0.7
0.75,0.386,0.386,0.75
0.8,0.333,0.333,0.8
0.85,0.291,0.291,0.85
0.9,0.26,0.26,0.9
0.95,0.238,0.238,0.95
1,0.222,0.222,1
1.05,0.21,0.21,1.05
1.1,0.2,0.2,1.1
1.15,0.192,0.192,1.15
1.2,0.186,0.186,1.2
